20

SELECCION RULETA SIN ELITISMO
Ciclo  69  Cromosoma:  111111010011100101011110110111

Ciclo  70  Cromosoma:  111111010011100101011110110111

Ciclo  71  Cromosoma:  111111010011100101011110110111

Ciclo  72  Cromosoma:  111111010111100101011110010111

Ciclo  73  Cromosoma:  111111010111100101011110010111

Ciclo  74  Cromosoma:  111111010011100101011110110111

Ciclo  75  Cromosoma:  111111010011100101011111010111

Ciclo  76  Cromosoma:  111111010011100101011111010111

Ciclo  77  Cromosoma:  111111010011100101011111010111

Ciclo  78  Cromosoma:  111111010011100101011111010111

Ciclo  79  Cromosoma:  111111010011100101011111010111

Ciclo  80  Cromosoma:  111111010011100101011111010111

Ciclo  81  Cromosoma:  111111010011100101011111010111

Ciclo  82  Cromosoma:  111111010011100101011111010111

Ciclo  83  Cromosoma:  111111010011100101011111011111

Ciclo  84  Cromosoma:  111111010011100101011111011111

Ciclo  85  Cromosoma:  111111010111100101011111011111

Ciclo  86  Cromosoma:  111111010111100101011111011111

Ciclo  87  Cromosoma:  111111010111100101011111011111

Ciclo  88  Cromosoma:  111111010111100101011111011111

Ciclo  89  Cromosoma:  111111010111100101011110110111

Ciclo  90  Cromosoma:  111111010011110101011111011111

Ciclo  91  Cromosoma:  111111010011100101011111011111

Ciclo  92  Cromosoma:  111111010011100101011111011111

Ciclo  93  Cromosoma:  111111010011100101011111011111

Ciclo  94  Cromosoma:  111111010011100101011111011111

Ciclo  95  Cromosoma:  111111010011100101011111010111

Ciclo  96  Cromosoma:  111111010011100101011111110111

Ciclo  97  Cromosoma:  111111010011100101011111010111

Ciclo  98  Cromosoma:  111111010011100101011111010111

Ciclo  99  Cromosoma:  111111010011100101011111110111

Ciclo  100  Cromosoma:  111111010011100101011111110111
SELECCION RULETA CON ELITISMO

Ciclo  1  Cromosoma:  111111010011111101111010010111

Ciclo  2  Cromosoma:  111111010011111101111010010111

Ciclo  3  Cromosoma:  111111010011111101111110101011

Ciclo  4  Cromosoma:  111111010011111101111110101011

Ciclo  5  Cromosoma:  111111010011111101111110101011

Ciclo  6  Cromosoma:  111111010011111101111110101011

Ciclo  7  Cromosoma:  111111010011111101111110101011

Ciclo  8  Cromosoma:  111111010011111101111110101011

Ciclo  9  Cromosoma:  111111010011111101111110101011

Ciclo  10  Cromosoma:  111111010011111101111110101011

Ciclo  11  Cromosoma:  111111010011111101111110101011

Ciclo  12  Cromosoma:  111111010011111101111110101011

Ciclo  13  Cromosoma:  111111110011111101111110101011

Ciclo  14  Cromosoma:  111111110011111101111110101011

Ciclo  15  Cromosoma:  111111110011111111111110101011

Ciclo  16  Cromosoma:  111111110011111111111110101011

Ciclo  17  Cromosoma:  111111110011111111111110101011

Ciclo  18  Cromosoma:  111111110011111111111110101011

Ciclo  19  Cromosoma:  111111110011111111111110101011

Ciclo  20  Cromosoma:  111111110011111111111110101011

Ciclo  21  Cromosoma:  111111110011111111111110101011

Ciclo  22  Cromosoma:  111111110011111111111110101011

Ciclo  23  Cromosoma:  111111110011111111111110101011

Ciclo  24  Cromosoma:  111111110011111111111110101011

Ciclo  25  Cromosoma:  111111110011111111111110101011

Ciclo  26  Cromosoma:  111111110011111111111110101011

Ciclo  27  Cromosoma:  111111110011111111111110101011

Ciclo  28  Cromosoma:  111111110011111111111110101011

Ciclo  29  Cromosoma:  111111110011111111111110101011

Ciclo  30  Cromosoma:  111111110011111111111110101011

Ciclo  31  Cromosoma:  111111110011111111111110101011

Ciclo  32  Cromosoma:  111111110011111111111110101011

Ciclo  33  Cromosoma:  111111110011111111111110101011

Ciclo  34  Cromosoma:  111111110011111111111110101011

Ciclo  35  Cromosoma:  111111110011111111111110101011

Ciclo  36  Cromosoma:  111111110011111111111110101011

Ciclo  37  Cromosoma:  111111110011111111111110101011

Ciclo  38  Cromosoma:  111111110011111111111110101011

Ciclo  39  Cromosoma:  111111110011111111111110101011

Ciclo  40  Cromosoma:  111111110011111111111110101011

Ciclo  41  Cromosoma:  111111110011111111111110101011

Ciclo  42  Cromosoma:  111111110011111111111110101011

Ciclo  43  Cromosoma:  111111110011111111111110101111

Ciclo  44  Cromosoma:  111111110011111111111110101111

Ciclo  45  Cromosoma:  111111110011111111111110101111

Ciclo  46  Cromosoma:  111111110011111111111110101111

Ciclo  47  Cromosoma:  111111110011111111111110101111

Ciclo  48  Cromosoma:  111111110011111111111110101111

Ciclo  49  Cromosoma:  111111110011111111111110101111

Ciclo  50  Cromosoma:  111111110011111111111110101111

Ciclo  51  Cromosoma:  111111110011111111111110101111

Ciclo  52  Cromosoma:  111111110011111111111110101111

Ciclo  53  Cromosoma:  111111110011111111111110101111

Ciclo  54  Cromosoma:  111111110011111111111110101111

Ciclo  55  Cromosoma:  111111110011111111111110101111

Ciclo  56  Cromosoma:  111111110011111111111110101111

Ciclo  57  Cromosoma:  111111110011111111111110101111
