20 


Ciclos

SELECCION RULETA SIN ELITISMO
Ciclo  82  Cromosoma:   111110101000000110011010010101



Ciclo  83  Cromosoma:   111110101000000100011010010101



Ciclo  84  Cromosoma:   111110101000000000011010011101



Ciclo  85  Cromosoma:   111110101000000110111010010101



Ciclo  86  Cromosoma:   111110101000000110111010010101



Ciclo  87  Cromosoma:   111110101000000110111010010101



Ciclo  88  Cromosoma:   111110101000000110111010010101



Ciclo  89  Cromosoma:   111110101000000000011010010101



Ciclo  90  Cromosoma:   111110101000000000011010010101



Ciclo  91  Cromosoma:   111110101000000000011010010101



Ciclo  92  Cromosoma:   111110101000000000011010010101



Ciclo  93  Cromosoma:   111110001000000000011010011101



Ciclo  94  Cromosoma:   111110001000000000011010011101



Ciclo  95  Cromosoma:   111110001000000000011010011101



Ciclo  96  Cromosoma:   111110001000000000011110011101



Ciclo  97  Cromosoma:   111110001000000000011010011101



Ciclo  98  Cromosoma:   111110001000000000011010011101



Ciclo  99  Cromosoma:   111110001000000000011010011101



Ciclo  100  Cromosoma:  111110001000000000011010011101
SELECCION RULETA CON ELITISMO



Ciclo  1  Cromosoma:    111110101110100001001110101111



Ciclo  2  Cromosoma:    111110101110100001001110101111



Ciclo  3  Cromosoma:    111110101110100001001110101111



Ciclo  4  Cromosoma:    111110101110100001001110101111



Ciclo  5  Cromosoma:    111110101110100001001110101111



Ciclo  6  Cromosoma:    111110101110100001001110101111



Ciclo  7  Cromosoma:    111110101110100001001110101111



Ciclo  8  Cromosoma:    111110101110100001001110101111



Ciclo  9  Cromosoma:    111110101110100001001110101111



Ciclo  10  Cromosoma:   111110101110100001001110101111



Ciclo  11  Cromosoma:   111110101110100001001110101111



Ciclo  12  Cromosoma:   111111101110100001001110101111



Ciclo  13  Cromosoma:   111111101110100001001110101111



Ciclo  14  Cromosoma:   111111101110100001001110101111



Ciclo  15  Cromosoma:   111111101110100001001110101111



Ciclo  16  Cromosoma:   111111101110100001001110101111

